product_name,rating,review_text,sentiment
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Perfect product!. I'm writing this review Note after using the product nearly 2 year. 
It was my good decision to buy this newly launched, Samsung TV. I very satisfied by using this TV. Below are some check points for the Understanding reference. 

1. Picture quality= 10/10
2. Sound quality = 10/9
3.Remote quality = 10/7
4. Connectivity quality = 10/9
5. Software = 10/7 (some where slow but full fill your work) 
6. Blootooth (No Blootooth, cannot connect any Bluetooth devices) 
7. OTT apps= All apps are available you can enjoy it's work smoothly. 

Must recommended product",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Best in the market!. Nice picture quality sound quality nice screen cast good 👍😊 must buy,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Very Good. This is an initial impression. { just 2 days}
Delivered before date, and installation done within 3 hrs which is very impressive.

Pros
1. Value for money
2. Useful apps are pre-loaded
3. Connectivity is good
4. Picture quality is good

Cons
1. Table stand / walk mount not included in the box. But you have an option to select at the time of installation. Ideally we should get both, but you will get either. { DO NOT PAY ANYTHING FOR TABLE STAND OR WALL MOUNT, ITS FREE FROM SAMSUNG}
2. Sound is comparatively low. Doesn't seem like 20W sound output.
3. 2 star energy rating. Which is OK at this price.

Will update the review as and when I found something useful or useless",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Just wow!. Very nice samsung LED TV , good quality 💖. 
Best sound quality.❤️
Quick mobile support  and  good quality 😍
Samsung sarvice is very good 😊. 
My choice five of one Always Samsung 😊💖❤️",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Just wow!. Good product in this price range, good picture quality, sound and everything. Suggest to other for purchase this one",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Perfect product!. Awesome 👍,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Must buy!. I also review after use 3 month. Such a all is best build quality and performance are great sound is very nice picture quality ousom in this price range. samsung brand is my favorite 😍 I also use samsung smart phone from 3 years...so led is looking beautiful and look like a legendary in Off mode 😍... no any doubt please give for it....✌🤗,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Terrific. Good tv in this price. sound quality is also good 👍👍,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Good choice. Awesome tv in this price range.please note no Bluetooth and table stand .in case u want table stand then ask installation guy for it. U will get either stand or wall mount.
Picture quality is great , sound is also good . Samsung TV plus is good addition",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Best in the market!. Picture quality so good...must buy...just go for it 🤗,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,3,Does the job. Best TV but there was no base stand in the box package,neutral
